label,som_1,som_2,som_3,som_4,som_5,twist_1,twist_2,twist_3,twist_4,twist_6,str_1,str_2,str_3,str_4,str_5,pike_1,pike_2,pike_3,pike_4,pike_5,tuck_1,tuck_2,tuck_3,tuck_4,tuck_5,free_1,free_2,free_3,free_4,free_5
Forward,0,,,,,,,,,,1.6,,,,,1.5,,,,,1.4,,,,,,,,,
Backward,0,,,,,,,,,,1.9,,,,,1.8,,,,,1.7,,,,,,,,,
Reverse,0,,,,,,,,,,2,,,,,1.9,,,,,1.8,,,,,,,,,
Inward,0,,,,,,,,,,1.7,,,,,1.4,,,,,1.3,,,,,,,,,
Twisting (Forward),0,0,,,,0.5,1,,,,2,2.2,,,,1.9,2.1,,,,1.8,,,,,,,,,
Armstand,0,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,
Forward,1,1.5,2,2.5,3,,,,,,1.8,1.9,2.5,2.7,,1.7,1.6,2.2,2.3,3,1.6,1.5,2.1,2.1,2.7,,,,,
Forward,3.5,4,4.5,5.5,,,,,,,,,,,,3,4.1,4.1,,,2.7,3.7,3.7,4.7,,,,,,
Backward,1,1.5,2,2.5,3,,,,,,1.9,2.4,2.6,3.3,,1.8,2.2,2.4,2.9,3,1.7,1.9,2.1,2.7,2.7,,,,,
Backward,3.5,4,4.5,,,,,,,,,,,,,3.6,4.1,4.5,,,3.3,3.8,4.2,,,,,,,
Reverse,1,1.5,2,2.5,3,,,,,,2,2.6,2.8,3.4,,1.9,2.3,2.5,3,3.2,1.8,2,2.2,2.8,2.9,,,,,
Reverse,3.5,4,4.5,,,,,,,,,,,,,3.7,4.4,4.8,,,3.4,4.1,4.5,,,,,,,
Inward,1,1.5,2,2.5,3,,,,,,1.9,,,,,1.6,2,2.6,2.8,3.5,1.5,1.8,2.4,2.5,3.2,,,,,
Inward,3.5,4,4.5,,,,,,,,,,,,,3.5,4.4,4.4,,,3.2,4.1,4.1,,,,,,,
Twisting (Forward),1,1,1,,,0.5,1,2,,,,,,,,,,,,,,,,,,1.9,2.1,2.5,,
Twisting (Forward),1.5,1.5,1.5,1.5,1.5,0.5,1,2,3,4,,,,,,,,,,,,,,,,1.9,2.1,2.5,3,3.4
Twisting (Forward),2.5,2.5,2.5,3.5,,0.5,1,2,3.5,,,,,,,2.9,3.3,3.8,3.6,,2.7,3.1,3.6,3.3,,,,,,
Twisting (Backward),0,0,,,,0.5,1,,,,2,2.2,,,,1.9,,,,,1.8,,,,,,,,,
Twisting (Backward),1,1,1,1,,0.5,1,1.5,2.5,,,,,,,,,,,,,,,,,1.9,2.1,2.5,2.9,
Twisting (Backward),1.5,1.5,1.5,1.5,1.5,0.5,1.5,2.5,3.5,4.5,,,,,,,,,,,,,,,,2,2.4,2.8,3.3,3.7
Twisting (Backward),2.5,2.5,2.5,2.5,,0.5,1.5,2.5,3.5,,,,,,,2.6,3.2,3.6,4.1,,2.4,3,3.4,3.9,,,,,,
Twisting (Backward),3.5,3.5,3.5,,,0.5,1.5,2.5,,,,,,,,3.2,3.8,4.2,,,2.9,3.5,3.9,,,,,,,
Twisting (Reverse),0,0,,,,0.5,1,,,,2.1,2.3,,,,2,,,,,1.9,,,,,,,,,
Twisting (Reverse),1,1,1,1,,0.5,1,1.5,2.5,,,,,,,,,,,,,,,,,2,2.2,2.6,3,
Twisting (Reverse),1.5,1.5,1.5,1.5,1.5,0.5,1.5,2.5,3.5,4.5,,,,,,,,,,,,,,,,2.1,2.5,2.9,3.4,3.8
Twisting (Reverse),2.5,2.5,2.5,,,0.5,1.5,2.5,,,,,,,,2.7,3.3,3.7,,,2.5,3.1,3.5,,,,,,,
Twisting (Reverse),3.5,3.5,3.5,,,0.5,1.5,2.5,,,,,,,,3.3,,,,,3,3.6,4,,,,,,,
Twisting (Inward),0,0,,,,0.5,1,,,,1.9,2.1,,,,1.6,1.8,,,,1.5,1.7,,,,,,,,
Twisting (Inward),1,1,,,,0.5,1,,,,,,,,,,,,,,,,,,,1.8,2,,,
Twisting (Inward),1.5,1.5,1.5,,,1,2,3,,,,,,,,,,,,,,,,,,2.3,2.7,3.4,,
Armstand (Forward),0.5,1,2,3,,,,,,,2,2,,,,1.9,1.9,2.4,3.3,,1.7,1.7,2.1,3.1,,,,,,
Armstand (Backward),0.5,1,1.5,,,,,,,,1.9,2.3,,,,1.8,2.2,2.2,,,1.6,2,1.9,,,,,,,
Armstand (Backward),2,3,4,,,,,,,,3,,,,,2.8,3.5,4.7,,,2.5,3.3,4.5,,,,,,,
Armstand (Reverse),0.5,1,1.5,,,,,,,,2,,,,,1.9,2.3,2.3,,,1.7,2.1,2,,,,,,,
Armstand (Reverse),2,3,4,,,,,,,,,,,,,2.9,3.6,4.8,,,2.6,3.4,4.6,,,,,,,
Armstand (Forward),1,1,2,2,3,1,2,1,2,1,,,,,,,,,,,,,,,3.9,2.6,2.9,3.1,3.4,
Armstand (Backward),1,2,2,2,2,0.5,0.5,1.5,2.5,3.5,,,,,,,2.7,,,,,2.4,,,,1.8,,3.2,3.6,4
Armstand (Backward),3,3,3,,,0.5,1.5,2.5,,,,,,,,3.4,4.2,4.6,,,3.2,4,4.4,,,,,,,